,State,RegionName,StateFullName
9144,AL,Helena,Alabama
9146,AL,Montevallo,Alabama
9147,AL,Irvington,Alabama
9132,AL,Daphne,Alabama
9228,AL,Clay,Alabama
9145,AL,Arab,Alabama
9226,AL,Bayou La Batre,Alabama
9190,AL,Orange Beach,Alabama
9162,AL,Cullman,Alabama
9189,AL,Grayson Valley,Alabama
9188,AL,Pike Road,Alabama
9187,AL,Brookwood,Alabama
9186,AL,Centreville,Alabama
9185,AL,Gurley,Alabama
9184,AL,Wilsonville,Alabama
9183,AL,Union Grove,Alabama
9182,AL,New Hope,Alabama
9181,AL,Meridianville,Alabama
9180,AL,Eight Mile,Alabama
9179,AL,Fultondale,Alabama
9178,AL,Ardmore,Alabama
9177,AL,Silverhill,Alabama
9176,AL,Adamsville,Alabama
9175,AL,Lake Purdy,Alabama
9174,AL,Pleasant Grove,Alabama
9173,AL,Satsuma,Alabama
9172,AL,New Market,Alabama
9171,AL,Boaz,Alabama
9170,AL,Chickasaw,Alabama
9169,AL,Irondale,Alabama
9168,AL,Tarrant,Alabama
9167,AL,Hueytown,Alabama
9166,AL,Spanish Fort,Alabama
9165,AL,Center Point,Alabama
9164,AL,Citronelle,Alabama
9163,AL,Loxley,Alabama
9192,AL,Duncanville,Alabama
9193,AL,Forestdale,Alabama
9191,AL,Summerdale,Alabama
9195,AL,Holly Pond,Alabama
9225,AL,Morris,Alabama
9224,AL,Hope Hull,Alabama
9223,AL,Shelby,Alabama
9222,AL,Lipscomb,Alabama
9221,AL,Logan,Alabama
9220,AL,Coden,Alabama
9219,AL,Pinson,Alabama
9218,AL,Grant,Alabama
9217,AL,Chancellor,Alabama
9216,AL,Elmore,Alabama
9215,AL,Ralph,Alabama
9214,AL,Coker,Alabama
9194,AL,Midfield,Alabama
9212,AL,Warrior,Alabama
9211,AL,Axis,Alabama
9213,AL,Chalkville,Alabama
9209,AL,Harpersville,Alabama
9196,AL,West Blocton,Alabama
9197,AL,Lillian,Alabama
9198,AL,Brent,Alabama
9210,AL,Fosters,Alabama
9200,AL,Meadowbrook,Alabama
9201,AL,Elberta,Alabama
9199,AL,Indian Springs Village,Alabama
9203,AL,Crane Hill,Alabama
9204,AL,Chunchula,Alabama
9205,AL,Vance,Alabama
9206,AL,Ramer,Alabama
9207,AL,Graysville,Alabama
9208,AL,Ranburne,Alabama
9202,AL,Brighton,Alabama
9227,AL,Perdido,Alabama
8455,AK,Kenai,Alaska
8450,AK,Anchorage,Alaska
8451,AK,Fairbanks,Alaska
8452,AK,Palmer,Alaska
8453,AK,North Pole,Alaska
8454,AK,Juneau,Alaska
8457,AK,Kodiak,Alaska
8458,AK,Tanaina,Alaska
8459,AK,Ketchikan,Alaska
8460,AK,Lakes,Alaska
8461,AK,Homer,Alaska
8462,AK,Seward,Alaska
8463,AK,Anchor Point,Alaska
8456,AK,Soldotna,Alaska
3224,AZ,Miami,Arizona
3225,AZ,Cave Creek,Arizona
3226,AZ,Wellton,Arizona
3227,AZ,Thatcher,Arizona
3228,AZ,Snowflake,Arizona
3232,AZ,New River,Arizona
3230,AZ,Three Points,Arizona
3231,AZ,Rimrock,Arizona
3223,AZ,Lakeside,Arizona
3233,AZ,Drexel-Alvernon,Arizona
3234,AZ,Clarkdale,Arizona
3229,AZ,San Manuel,Arizona
3222,AZ,Pinetop,Arizona
3219,AZ,Catalina,Arizona
3220,AZ,Golden Valley,Arizona
3235,AZ,Heber,Arizona
3218,AZ,South Tucson,Arizona
3217,AZ,Wickenburg,Arizona
3216,AZ,Tortolita,Arizona
3215,AZ,Mohave Valley,Arizona
3214,AZ,Williams,Arizona
3213,AZ,Tolleson,Arizona
3212,AZ,Huachuca City,Arizona
3211,AZ,Page,Arizona
3210,AZ,Bisbee,Arizona
3209,AZ,Gold Canyon,Arizona
3208,AZ,Willcox,Arizona
3207,AZ,Hereford,Arizona
3221,AZ,Valencia West,Arizona
3236,AZ,Carefree,Arizona
3240,AZ,Amado,Arizona
3238,AZ,Superior,Arizona
3206,AZ,Benson,Arizona
3267,AZ,Overgaard,Arizona
3266,AZ,Forest Lakes,Arizona
3265,AZ,Tubac,Arizona
3264,AZ,Munds Park,Arizona
3263,AZ,Littletown,Arizona
3262,AZ,Star Valley,Arizona
3261,AZ,Sonoita,Arizona
3260,AZ,Saint David,Arizona
3259,AZ,Happy Jack,Arizona
3258,AZ,Clifton,Arizona
3257,AZ,Tombstone,Arizona
3256,AZ,Eagar,Arizona
3255,AZ,Black Canyon City,Arizona
3254,AZ,Kirkland,Arizona
3253,AZ,Dewey-Humboldt,Arizona
3252,AZ,Mayer,Arizona
3251,AZ,Corona de Tucson,Arizona
3250,AZ,Vail,Arizona
3249,AZ,Patagonia,Arizona
3248,AZ,Pima,Arizona
3247,AZ,Youngtown,Arizona
3246,AZ,Kearny,Arizona
3245,AZ,Pine,Arizona
3244,AZ,Pearce,Arizona
3243,AZ,Rio Verde,Arizona
3242,AZ,Quartzsite,Arizona
3241,AZ,Paulden,Arizona
3239,AZ,Oracle,Arizona
3237,AZ,Cornville,Arizona
3204,AZ,Parker,Arizona
3205,AZ,Litchfield Park,Arizona
3191,AZ,Marana,Arizona
3177,AZ,Catalina Foothills,Arizona
3178,AZ,Sun City West,Arizona
3179,AZ,Somerton,Arizona
3180,AZ,Cottonwood,Arizona
3181,AZ,Nogales,Arizona
3182,AZ,Florence,Arizona
3184,AZ,Sahuarita,Arizona
3185,AZ,Fountain Hills,Arizona
3186,AZ,Green Valley,Arizona
3187,AZ,Tanque Verde,Arizona
3188,AZ,Sedona,Arizona
3189,AZ,San Luis,Arizona
3190,AZ,Eloy,Arizona
3192,AZ,Show Low,Arizona
3193,AZ,Flowing Wells,Arizona
3194,AZ,Rio Rico,Arizona
3195,AZ,Safford,Arizona
3196,AZ,Winslow,Arizona
3197,AZ,Coolidge,Arizona
3198,AZ,Tucson Estates,Arizona
3199,AZ,Chino Valley,Arizona
3200,AZ,Camp Verde,Arizona
3201,AZ,Globe,Arizona
3202,AZ,Paradise Valley,Arizona
3203,AZ,Payson,Arizona
3176,AZ,El Mirage,Arizona
3175,AZ,Prescott Valley,Arizona
3183,AZ,Douglas,Arizona
3173,AZ,Sun City,Arizona
3148,AZ,Phoenix,Arizona
3149,AZ,Tucson,Arizona
3150,AZ,Mesa,Arizona
3151,AZ,Chandler,Arizona
3174,AZ,Bullhead City,Arizona
3153,AZ,Gilbert,Arizona
3154,AZ,Scottsdale,Arizona
3155,AZ,Tempe,Arizona
3156,AZ,Peoria,Arizona
3157,AZ,Yuma,Arizona
3158,AZ,Queen Creek,Arizona
3159,AZ,Surprise,Arizona
3160,AZ,Flagstaff,Arizona
3152,AZ,Glendale,Arizona
3162,AZ,Casa Grande,Arizona
3161,AZ,San Tan Valley,Arizona
3172,AZ,Anthem,Arizona
3171,AZ,Oro Valley,Arizona
3169,AZ,Buckeye,Arizona
3168,AZ,Kingman,Arizona
3170,AZ,Apache Junction,Arizona
3166,AZ,Prescott,Arizona
3165,AZ,Lake Havasu City,Arizona
3164,AZ,Goodyear,Arizona
3163,AZ,Avondale,Arizona
3167,AZ,Sierra Vista,Arizona
10023,AR,Gurdon,Arkansas
10029,AR,England,Arkansas
10024,AR,Sulphur Springs,Arkansas
10025,AR,Paron,Arkansas
10026,AR,Mount Vernon,Arkansas
10027,AR,Little Flock,Arkansas
10028,AR,Sweet Home,Arkansas
10030,AR,Elkins,Arkansas
10037,AR,Lavaca,Arkansas
10032,AR,Bethel Heights,Arkansas
10033,AR,Garfield,Arkansas
10034,AR,Rudy,Arkansas
10036,AR,Elm Springs,Arkansas
10038,AR,Mountainburg,Arkansas
10039,AR,Decatur,Arkansas
10022,AR,Gentry,Arkansas
10031,AR,Cave Springs,Arkansas
10021,AR,Cammack Village,Arkansas
10035,AR,Huntington,Arkansas
10019,AR,Haskell,Arkansas
9992,AR,Austin,Arkansas
9991,AR,Pea Ridge,Arkansas
9990,AR,Centerton,Arkansas
9989,AR,Ward,Arkansas
9988,AR,Prairie Grove,Arkansas
9987,AR,Bauxite,Arkansas
9986,AR,Lonoke,Arkansas
9985,AR,Marion,Arkansas
9984,AR,Greenwood,Arkansas
9983,AR,Maumelle,Arkansas
9982,AR,Hot Springs Village,Arkansas
9981,AR,Bryant,Arkansas
9980,AR,Bentonville,Arkansas
9979,AR,Siloam Springs,Arkansas
10020,AR,Scott,Arkansas
9977,AR,West Memphis,Arkansas
9976,AR,Benton,Arkansas
9975,AR,Sherwood,Arkansas
9974,AR,Cabot,Arkansas
9973,AR,Van Buren,Arkansas
9972,AR,Jacksonville,Arkansas
9971,AR,Hot Springs,Arkansas
9970,AR,Rogers,Arkansas
9969,AR,Springdale,Arkansas
9968,AR,Fayetteville,Arkansas
9967,AR,North Little Rock,Arkansas
9966,AR,Conway,Arkansas
9965,AR,Fort Smith,Arkansas
9964,AR,Little Rock,Arkansas
9993,AR,West Fork,Arkansas
9994,AR,Hensley,Arkansas
9978,AR,Bella Vista,Arkansas
9996,AR,Carlisle,Arkansas
9995,AR,Piney,Arkansas
10018,AR,Johnson,Arkansas
10017,AR,Shannon Hills,Arkansas
10016,AR,Tontitown,Arkansas
10015,AR,Roland,Arkansas
10014,AR,Vilonia,Arkansas
10013,AR,Greenbrier,Arkansas
10012,AR,Traskwood,Arkansas
10011,AR,Salem,Arkansas
10010,AR,Lake Hamilton,Arkansas
10008,AR,Farmington,Arkansas
10007,AR,Alma,Arkansas
10006,AR,Pearcy,Arkansas
10005,AR,Lincoln,Arkansas
10004,AR,Parkers-Iron Springs,Arkansas
10009,AR,Winslow,Arkansas
9999,AR,Mayflower,Arkansas
10002,AR,Gravette,Arkansas
10001,AR,Lowell,Arkansas
10000,AR,Rockwell,Arkansas
9997,AR,Barling,Arkansas
10003,AR,Mulberry,Arkansas
9998,AR,Royal,Arkansas
1139,CA,Ladera Ranch,California
1140,CA,Patterson,California
1141,CA,La Verne,California
1142,CA,Seal Beach,California
1143,CA,Paradise,California
1144,CA,Vineyard,California
1145,CA,Oildale,California
1146,CA,Suisun City,California
1147,CA,Rosemont,California
1150,CA,Mira Loma,California
1157,CA,Agoura Hills,California
1156,CA,Loma Linda,California
1155,CA,North Tustin,California
1114,CA,Norco,California
1138,CA,El Cerrito,California
1153,CA,Millbrae,California
1152,CA,Cudahy,California
1149,CA,Yucca Valley,California
1151,CA,Benicia,California
1148,CA,Chowchilla,California
1115,CA,Mill Valley,California
1127,CA,Belmont,California
1117,CA,Claremont,California
1137,CA,San Fernando,California
1136,CA,Aptos,California
1135,CA,Red Bluff,California
1134,CA,Galt,California
1133,CA,Lemon Grove,California
1132,CA,South Pasadena,California
1131,CA,Maywood,California
1130,CA,Placerville,California
1158,CA,Blythe,California
1116,CA,Arroyo Grande,California
1129,CA,Winchester,California
1126,CA,Stanton,California
1125,CA,Sebastopol,California
1124,CA,Wasco,California
1123,CA,Olivehurst,California
1122,CA,Seaside,California
1121,CA,East Palo Alto,California
1120,CA,Dana Point,California
1119,CA,Goleta,California
1118,CA,Imperial Beach,California
1128,CA,Windsor,California
1159,CA,Dixon,California
951,CA,Porterville,California
1161,CA,Bloomington,California
1185,CA,Port Hueneme,California
1186,CA,Phelan,California
1187,CA,Westlake Village,California
1188,CA,Willowbrook,California
1189,CA,Truckee,California
1190,CA,Taft,California
1191,CA,Lindsay,California
1192,CA,Kerman,California
1193,CA,El Segundo,California
1184,CA,Los Alamitos,California
1194,CA,Greenfield,California
1196,CA,Alamo,California
1197,CA,Hercules,California
1198,CA,Lathrop,California
1199,CA,Artesia,California
1200,CA,McKinleyville,California
1201,CA,Exeter,California
1202,CA,South San Jose Hills,California
1203,CA,West Whittier-Los Nietos,California
1204,CA,Laguna Woods,California
1195,CA,Kingsburg,California
1160,CA,Coalinga,California
1183,CA,La Crescenta-Montrose,California
1113,CA,Marysville,California
1162,CA,Coronado,California
1163,CA,West Carson,California
1164,CA,Valley Center,California
1165,CA,Susanville,California
1166,CA,South El Monte,California
1167,CA,Laguna Beach,California
1168,CA,Lomita,California
1169,CA,Marina,California
1170,CA,La Canada Flintridge,California
1182,CA,Arcata,California
1171,CA,Rosamond,California
1173,CA,Granite Bay,California
1174,CA,Ojai,California
1175,CA,Shafter,California
1176,CA,Duarte,California
1177,CA,El Sobrante,California
1178,CA,Albany,California
1179,CA,Nipomo,California
1180,CA,American Canyon,California
1181,CA,Hermosa Beach,California
1172,CA,Arvin,California
1112,CA,Florin,California
1084,CA,Reedley,California
1110,CA,Orangevale,California
1011,CA,Yucaipa,California
1010,CA,South Whittier,California
1009,CA,Fountain Valley,California
1008,CA,Santee,California
1007,CA,Cupertino,California
1006,CA,Montebello,California
1005,CA,Colton,California
1004,CA,Delano,California
1003,CA,Carmichael,California
1002,CA,Azusa,California
1001,CA,Eastvale,California
1000,CA,Rancho Cordova,California
999,CA,Davis,California
998,CA,Monterey Park,California
997,CA,Lompoc,California
996,CA,Lake Elsinore,California
995,CA,South San Francisco,California
1012,CA,Glendora,California
994,CA,Woodland,California
1013,CA,Hacienda Heights,California
1015,CA,San Pablo,California
1032,CA,Martinez,California
1031,CA,Diamond Bar,California
1030,CA,Palm Desert,California
1029,CA,Lincoln,California
1028,CA,Aliso Viejo,California
1027,CA,Castro Valley,California
1026,CA,Menifee,California
1025,CA,La Mirada,California
1024,CA,Oroville,California
1023,CA,Danville,California
1022,CA,Highland,California
1021,CA,El Centro,California
1020,CA,Cathedral City,California
1019,CA,Hollister,California
1018,CA,West Sacramento,California
1017,CA,Paramount,California
1016,CA,Poway,California
1014,CA,Placentia,California
993,CA,Rocklin,California
992,CA,Brentwood,California
991,CA,San Clemente,California
968,CA,Hanford,California
967,CA,Lodi,California
966,CA,Spring Valley,California
965,CA,San Marcos,California
964,CA,Yuba City,California
963,CA,Redondo Beach,California
962,CA,Apple Valley,California
961,CA,Pleasanton,California
960,CA,Huntington Park,California
959,CA,La Mesa,California
958,CA,Petaluma,California
957,CA,Camarillo,California
956,CA,San Ramon,California
955,CA,Lake Forest,California
954,CA,Baldwin Park,California
953,CA,Tulare,California
952,CA,Folsom,California
969,CA,Lynwood,California
970,CA,San Rafael,California
971,CA,Palo Alto,California
972,CA,Milpitas,California
990,CA,Gilroy,California
989,CA,National City,California
988,CA,Newport Beach,California
987,CA,Florence-Graham,California
986,CA,Novato,California
985,CA,Gardena,California
984,CA,Encinitas,California
983,CA,San Gabriel,California
1033,CA,Campbell,California
982,CA,San Luis Obispo,California
980,CA,Yorba Linda,California
979,CA,Arcadia,California
978,CA,Laguna Niguel,California
977,CA,Rosemead,California
976,CA,Pico Rivera,California
975,CA,Alameda,California
974,CA,Chino Hills,California
973,CA,Union City,California
981,CA,La Habra,California
1034,CA,Desert Hot Springs,California
1035,CA,Cerritos,California
1036,CA,Newark,California
1087,CA,El Dorado Hills,California
1086,CA,Foster City,California
1085,CA,Rancho Palos Verdes,California
950,CA,Turlock,California
1083,CA,Rohnert Park,California
1082,CA,Westmont,California
1081,CA,Santa Paula,California
1080,CA,Atwater,California
1079,CA,Ceres,California
1078,CA,Tehachapi,California
1077,CA,Calexico,California
1076,CA,Lemoore,California
1075,CA,Sanger,California
1074,CA,Barstow,California
1073,CA,Manhattan Beach,California
1072,CA,Los Gatos,California
1071,CA,Pleasant Hill,California
1088,CA,Selma,California
1089,CA,San Carlos,California
1090,CA,Lawndale,California
1091,CA,Ridgecrest,California
1109,CA,Ukiah,California
1108,CA,Laguna Hills,California
1107,CA,Shingle Springs,California
1106,CA,Walnut,California
1105,CA,San Lorenzo,California
1104,CA,South Lake Tahoe,California
1103,CA,Temple City,California
1102,CA,Los Altos,California
1070,CA,West Hollywood,California
1101,CA,Wildomar,California
1099,CA,Dinuba,California
1098,CA,San Dimas,California
1097,CA,Banning,California
1096,CA,Moorpark,California
1095,CA,Saratoga,California
1094,CA,Oakdale,California
1093,CA,Atascadero,California
1092,CA,Morgan Hill,California
1100,CA,Burlingame,California
1111,CA,Monterey,California
1069,CA,San Juan Capistrano,California
1067,CA,La Quinta,California
1044,CA,Lakeside,California
1043,CA,Cypress,California
1042,CA,San Jacinto,California
942,CA,Manteca,California
943,CA,Carson,California
944,CA,Mountain View,California
945,CA,Bellflower,California
946,CA,Westminster,California
947,CA,Covina,California
948,CA,Pittsburg,California
1205,CA,Fillmore,California
949,CA,Redlands,California
1041,CA,Rancho Santa Margarita,California
1040,CA,Monrovia,California
1039,CA,Fallbrook,California
1038,CA,Palm Springs,California
1037,CA,Bell Gardens,California
1045,CA,Auburn,California
1046,CA,Brea,California
1047,CA,Fair Oaks,California
1048,CA,Rowland Heights,California
1066,CA,Paso Robles,California
1065,CA,Beverly Hills,California
1064,CA,Coachella,California
1063,CA,Culver City,California
1062,CA,Oakley,California
1061,CA,Pacifica,California
1060,CA,Dublin,California
1059,CA,Rubidoux,California
1068,CA,Bell,California
1058,CA,Montclair,California
1056,CA,Sonoma,California
1055,CA,San Bruno,California
1054,CA,Ramona,California
1053,CA,Beaumont,California
1052,CA,Menlo Park,California
1051,CA,Grass Valley,California
1050,CA,Eureka,California
1049,CA,La Puente,California
1057,CA,Altadena,California
1206,CA,Rancho Mirage,California
1269,CA,Coarsegold,California
1208,CA,Twentynine Palms,California
1432,CA,Landers,California
1431,CA,Burney,California
1430,CA,El Dorado,California
1429,CA,Home Gardens,California
1428,CA,Rio Dell,California
1427,CA,Pinon Hills,California
1426,CA,Rancho Santa Fe,California
1433,CA,Tipton,California
1425,CA,North Fork,California
1423,CA,Big Bear Lake,California
1422,CA,Montague,California
1421,CA,Esparto,California
1420,CA,Somis,California
1419,CA,Herald,California
1418,CA,Oakhurst,California
1417,CA,Penngrove,California
1424,CA,Foresthill,California
1434,CA,Shingletown,California
1435,CA,Highlands-Baywood Park,California
1436,CA,San Andreas,California
1453,CA,Yountville,California
1452,CA,Point Reyes Station,California
1451,CA,Clearlake Oaks,California
1450,CA,Copperopolis,California
1449,CA,Springville,California
1448,CA,Rolling Hills Estates,California
1447,CA,Rough and Ready,California
1446,CA,Pearblossom,California
1445,CA,Morada,California
1444,CA,Palo Cedro,California
1443,CA,Julian,California
1442,CA,Moss Beach,California
1441,CA,Easton,California
1440,CA,Mendocino,California
1439,CA,Belvedere,California
1438,CA,Wofford Heights,California
1437,CA,Janesville,California
1416,CA,Lockeford,California
1415,CA,Ivanhoe,California
1414,CA,Bonsall,California
1413,CA,Pioneer,California
1391,CA,Colfax,California
1390,CA,Cool,California
1389,CA,Emerald Lake Hills,California
1388,CA,Gonzales,California
1387,CA,Diamond Springs,California
1386,CA,Guerneville,California
1385,CA,Hidden Valley Lake,California
1384,CA,Meadow Vista,California
1383,CA,Jackson,California
1382,CA,Carmel Valley,California
1381,CA,Broadmoor Village,California
1380,CA,Lake Arrowhead,California
1379,CA,Weed,California
1378,CA,Del Monte Forest,California
1377,CA,Oak View,California
1376,CA,Portola Valley,California
1375,CA,Felton,California
1392,CA,Avalon,California
1454,CA,Del Rey Oaks,California
1393,CA,Glen Ellen,California
1395,CA,Forestville,California
1412,CA,Lincoln Village,California
1411,CA,Kings Beach,California
1410,CA,Boron,California
1409,CA,Linden,California
1408,CA,Wilton,California
1407,CA,Sunnyslope,California
1406,CA,Aromas,California
1405,CA,Monte Sereno,California
1404,CA,Highgrove,California
1403,CA,Pine Grove,California
1402,CA,Jamul,California
1401,CA,Earlimart,California
1400,CA,Rio Vista,California
1399,CA,Williams,California
1398,CA,San Juan Bautista,California
1397,CA,Frazier Park,California
1396,CA,Mount Shasta,California
1394,CA,Cambrian Park,California
1374,CA,San Joaquin,California
1455,CA,Tollhouse,California
1457,CA,Los Molinos,California
1515,CA,Sutter Creek,California
1514,CA,Kernville,California
1513,CA,Kennedy,California
1512,CA,Montara,California
1511,CA,Upper Lake,California
1510,CA,Sugarloaf,California
1509,CA,Idyllwild,California
1516,CA,Cazadero,California
1508,CA,Bass Lake,California
1506,CA,Carnelian Bay,California
1505,CA,Woodbridge,California
1504,CA,Ione,California
1503,CA,Shaver Lake,California
1502,CA,Green Valley Lake,California
1501,CA,La Honda,California
1500,CA,Hidden Meadows,California
1507,CA,Geyserville,California
1517,CA,Bodega Bay,California
1518,CA,Armona,California
1519,CA,Alta,California
1536,CA,Angels,California
1535,CA,Forest Falls,California
1534,CA,Twin Peaks,California
1533,CA,Tahoma,California
1532,CA,Prather,California
1531,CA,Campo,California
1530,CA,Inverness,California
1529,CA,Los Alamos,California
1528,CA,McCloud,California
1527,CA,Annapolis,California
1526,CA,Avila Beach,California
1525,CA,Fawnskin,California
1524,CA,Santa Ysabel,California
1523,CA,Ross,California
1522,CA,Volcano,California
1521,CA,Berry Creek,California
1520,CA,Homewood,California
1499,CA,Maricopa,California
1498,CA,Applegate,California
1497,CA,Etna,California
1496,CA,Aguanga,California
1474,CA,Occidental,California
1473,CA,Hidden Hills,California
1472,CA,Arnold,California
1471,CA,The Sea Ranch,California
1470,CA,Three Rivers,California
1469,CA,Newberry Springs,California
1468,CA,Trinidad,California
1467,CA,Inyokern,California
1466,CA,Descanso,California
1465,CA,Middletown,California
1464,CA,Lexington Hills,California
1463,CA,Tahoe Vista,California
1462,CA,Biggs,California
1461,CA,Gualala,California
1460,CA,Cayucos,California
1459,CA,Murphys,California
1458,CA,Rolling Hills,California
1475,CA,Wrightwood,California
1456,CA,Durham,California
1476,CA,Lagunitas,California
1478,CA,West Point,California
1495,CA,Bell Canyon,California
1494,CA,Borrego Springs,California
1493,CA,Georgetown,California
1492,CA,Monte Rio,California
1491,CA,Mokelumne Hill,California
1490,CA,Planada,California
1489,CA,Coulterville,California
1488,CA,Camino,California
1487,CA,Kenwood,California
1486,CA,Cedar Glen,California
1485,CA,Palos Verdes Peninsula,California
1484,CA,Auberry,California
1483,CA,Keyes,California
1482,CA,Squaw Valley,California
1481,CA,Ferndale,California
1480,CA,Running Springs,California
1479,CA,Mission Canyon,California
1477,CA,Forest Ranch,California
1207,CA,San Anselmo,California
1373,CA,Wheatland,California
1371,CA,Cambria,California
1266,CA,Big Bear City,California
1265,CA,Hillsborough,California
1264,CA,Littlerock,California
1263,CA,Nevada City,California
1262,CA,Fort Bragg,California
1261,CA,San Marino,California
1260,CA,View Park-Windsor Hills,California
1267,CA,Avocado Heights,California
1259,CA,Sierra Madre,California
1257,CA,Piedmont,California
1256,CA,Moraga,California
1255,CA,Fortuna,California
1254,CA,Willits,California
1253,CA,Firebaugh,California
1252,CA,Grand Terrace,California
1251,CA,Calimesa,California
1258,CA,Solana Beach,California
1268,CA,Cotati,California
941,CA,Upland,California
1270,CA,Corning,California
1287,CA,Woodside,California
1286,CA,Clayton,California
1285,CA,King City,California
1284,CA,Shasta Lake,California
1283,CA,Woodlake,California
1282,CA,Sausalito,California
1281,CA,Lakeport,California
1280,CA,Cloverdale,California
1279,CA,Cottonwood,California
1278,CA,Emeryville,California
1277,CA,Imperial,California
1276,CA,North Fair Oaks,California
1275,CA,Tiburon,California
1274,CA,Valley Springs,California
1273,CA,La Riviera,California
1272,CA,Signal Hill,California
1271,CA,Avenal,California
1250,CA,Canyon Lake,California
1249,CA,California City,California
1248,CA,Pedley,California
1247,CA,Orosi,California
1225,CA,Hawaiian Gardens,California
1224,CA,Pinole,California
1223,CA,Alum Rock,California
1222,CA,La Palma,California
1221,CA,Coto de Caza,California
1220,CA,Oak Park,California
1219,CA,Parlier,California
1218,CA,Valinda,California
1217,CA,Pacific Grove,California
1216,CA,Calabasas,California
1215,CA,West Puente Valley,California
1214,CA,Santa Fe Springs,California
1213,CA,Glen Avon,California
1212,CA,Bonita,California
1211,CA,Carpinteria,California
1210,CA,Healdsburg,California
1209,CA,Anderson,California
1226,CA,Commerce,California
1288,CA,Orange Cove,California
1227,CA,Riverbank,California
1229,CA,Mc Farland,California
1246,CA,Lamont,California
1245,CA,Carmel,California
1244,CA,Livingston,California
1243,CA,Alpine,California
1242,CA,Scotts Valley,California
1241,CA,Loomis,California
1240,CA,Escalon,California
1239,CA,Orinda,California
1238,CA,Hughson,California
1237,CA,Bishop,California
1236,CA,Half Moon Bay,California
1235,CA,Stanford,California
1234,CA,Malibu,California
1233,CA,Castaic,California
1232,CA,Grover Beach,California
1231,CA,Winton,California
1230,CA,Rio Linda,California
1228,CA,Los Osos,California
1372,CA,Helendale,California
1289,CA,Ripon,California
1291,CA,Morro Bay,California
1349,CA,Burbank,California
1348,CA,Quincy,California
1347,CA,Freedom,California
1346,CA,South Yuba City,California
1345,CA,Terra Bella,California
1344,CA,San Martin,California
1343,CA,Hilmar,California
1350,CA,Kensington,California
1342,CA,Elverta,California
1340,CA,Ladera Heights,California
1339,CA,Sloughhouse,California
1338,CA,Caruthers,California
1337,CA,Huron,California
1336,CA,Templeton,California
1335,CA,Larkspur,California
1334,CA,Clearlake,California
1341,CA,Yreka,California
1351,CA,Villa Park,California
1352,CA,Montecito,California
1353,CA,East La Mirada,California
1370,CA,Pixley,California
1369,CA,Acton,California
1368,CA,Lake Isabella,California
1367,CA,Brisbane,California
1366,CA,Morongo Valley,California
1365,CA,Newcastle,California
1364,CA,Pismo Beach,California
1363,CA,Buellton,California
1362,CA,Ben Lomond,California
1361,CA,Mather Air Force Base,California
1360,CA,Santa Ynez,California
1359,CA,Live Oak,California
1358,CA,Mojave,California
1357,CA,La Habra Heights,California
1356,CA,San Miguel,California
1355,CA,Rescue,California
1354,CA,Redwood Valley,California
1333,CA,Pollock Pines,California
1332,CA,Strathmore,California
1331,CA,Rosedale,California
1330,CA,Soquel,California
1308,CA,Riverdale,California
1307,CA,Alondra Park,California
1306,CA,Holtville,California
1305,CA,Thousand Palms,California
1304,CA,Capitola,California
1303,CA,Rodeo,California
1302,CA,Salida,California
1301,CA,Waterford,California
