,State,RegionName
361,Oregon,Corvallis
362,Oregon,Eugene
363,Oregon,Forest Grove
364,Oregon,Klamath Falls
365,Oregon,La Grande
366,Oregon,Marylhurst
367,Oregon,McMinnville
368,Oregon,Monmouth
369,Oregon,Newberg
370,Pennsylvania,Altoona
371,Pennsylvania,Annville
372,Pennsylvania,Bethlehem
373,Pennsylvania,Bloomsburg
374,Pennsylvania,Bradford
375,Pennsylvania,California
376,Pennsylvania,Carlisle
377,Pennsylvania,"Cecil B. Moore, Philadelphia, also known as ""Templetown"""
378,Pennsylvania,Clarion
379,Pennsylvania,Collegeville
380,Pennsylvania,Cresson
381,Pennsylvania,East Stroudsburg
382,Pennsylvania,Edinboro
383,Pennsylvania,Erie
384,Pennsylvania,Gettysburg
385,Pennsylvania,Greensburg
386,Pennsylvania,Grove City
387,Pennsylvania,Huntingdon
388,Pennsylvania,Indiana
389,Pennsylvania,Johnstown
390,Pennsylvania,Kutztown
391,Pennsylvania,Lancaster
392,Pennsylvania,Lewisburg
393,Pennsylvania,Lock Haven
394,Pennsylvania,Loretto
395,Pennsylvania,Mansfield
396,Pennsylvania,Meadville
397,Pennsylvania,Mont Alto
398,Pennsylvania,Millersville
399,Pennsylvania,New Wilmington
400,Pennsylvania,North East
401,Pennsylvania,"University City, Philadelphia"
402,Pennsylvania,"Oakland, Pittsburgh"
403,Pennsylvania,Reading
404,Pennsylvania,Selinsgrove
405,Pennsylvania,Shippensburg
406,Pennsylvania,Slippery Rock
407,Pennsylvania,State College
408,Pennsylvania,Villanova
409,Pennsylvania,Waynesburg
410,Pennsylvania,West Chester
411,Pennsylvania,Wilkes-Barre
412,Pennsylvania,Williamsport
413,Rhode Island,Kingston
414,Rhode Island,Providence
415,South Carolina,Central
416,South Carolina,Charleston
417,South Carolina,Clemson
418,South Carolina,Clinton
419,South Carolina,Columbia
420,South Carolina,Due West
421,South Carolina,Florence
422,South Carolina,Greenwood
423,South Carolina,Orangeburg
424,South Carolina,Rock Hill
425,South Carolina,Spartanburg
426,South Dakota,Brookings
427,South Dakota,Madison
428,South Dakota,Spearfish
429,South Dakota,Vermillion
430,Tennessee,Chattanooga
431,Tennessee,Collegedale
432,Tennessee,Cookeville
433,Tennessee,Harrogate
434,Tennessee,Henderson
435,Tennessee,Johnson City
436,Tennessee,Knoxville
437,Tennessee,Martin
438,Tennessee,McKenzie
439,Tennessee,Memphis
440,Tennessee,Murfreesboro
441,Tennessee,Nashville
442,Tennessee,Sewanee
443,Texas,Abilene
444,Texas,Alpine
445,Texas,Austin
446,Texas,Beaumont
447,Texas,Canyon
448,Texas,College Station
449,Texas,Commerce
450,Texas,Dallas
451,Texas,Denton
452,Texas,Fort Worth
453,Texas,Georgetown
454,Texas,Huntsville
455,Texas,Houston
456,Texas,Keene
457,Texas,Kingsville
458,Texas,Lubbock
459,Texas,Nacogdoches
460,Texas,Plainview
461,Texas,Prairie View
462,Texas,San Marcos
463,Texas,Stephenville
464,Texas,Waco
465,Utah,Cedar City
466,Utah,Logan
467,Utah,Provo
468,Utah,Orem
469,Utah,Salt Lake City
470,Utah,Ephraim
471,Vermont,Burlington
472,Vermont,Castleton
473,Vermont,Johnson
474,Vermont,Lyndonville
475,Vermont,Middlebury
476,Vermont,Northfield
477,Virginia,Blacksburg
478,Virginia,Bridgewater
479,Virginia,Charlottesville
480,Virginia,Farmville
481,Virginia,Fredericksburg
482,Virginia,Harrisonburg
483,Virginia,Lexington
484,Virginia,Lynchburg
485,Virginia,Radford
486,Virginia,Williamsburg
487,Virginia,Wise
488,Virginia,Chesapeake
489,Washington,Bellingham
490,Washington,Cheney
491,Washington,Ellensburg
492,Washington,Pullman
493,Washington,"University District, Seattle"
494,West Virginia,Athens
495,West Virginia,Buckhannon
496,West Virginia,Fairmont
497,West Virginia,Glenville
498,West Virginia,Huntington
499,West Virginia,Montgomery
500,West Virginia,Morgantown
501,West Virginia,Shepherdstown
502,West Virginia,West Liberty
503,Wisconsin,Appleton
504,Wisconsin,Eau Claire
505,Wisconsin,Green Bay
506,Wisconsin,La Crosse
507,Wisconsin,Madison
508,Wisconsin,Menomonie
509,Wisconsin,Milwaukee
510,Wisconsin,Oshkosh
511,Wisconsin,Platteville
512,Wisconsin,River Falls
513,Wisconsin,Stevens Point
514,Wisconsin,Waukesha
515,Wisconsin,Whitewater
516,Wyoming,Laramie
